strain_name	peptide_count	taxonomy
'Nostoc azollae' 0708	3650	Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
Nostoc PCC 7107	5446	Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;Nostoc PCC 7107
Nostoc PCC 7120	6129	Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;Nostoc PCC 7120
Nostoc PCC 7524	5603	Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;Nostoc PCC 7524
Nostoc punctiforme PCC 73102	6689	Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;Nostoc punctiforme PCC 73102
Microchaete PCC 7126	5191	Bacteria;Cyanobacteria;Nostocales;Microchaetaceae;Microchaetaceae_X;Microchaete;Microchaete PCC 7126
Cylindrospermopsis raciborskii CS-505	3449	Bacteria;Cyanobacteria;Nostocales;Nostocaceae;Cylindrospermopsis;Cylindrospermopsis raciborskii;Cylindrospermopsis raciborskii CS-505
Raphidiopsis brookii D9	3007	Bacteria;Cyanobacteria;Nostocales;Nostocaceae;Raphidiopsis;Raphidiopsis brookii;Raphidiopsis brookii D9
Richelia intracellularis HH01	2278	Bacteria;Cyanobacteria;Nostocales;Nostocaceae;Richelia;Richelia intracellularis;Richelia intracellularis HH01
Acidilobus saccharovorans 345-15	1499	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Acidilobaceae;Acidilobus;Acidilobus saccharovorans 345-15
Caldisphaera lagunensis DSM 15908	1527	Archaea;Crenarchaeota;Thermoprotei;Acidilobales;Caldisphaeraceae;Caldisphaera;Caldisphaera lagunensis DSM 15908
Aeropyrum pernix K1	1700	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Aeropyrum;Aeropyrum pernix K1
Desulfurococcus fermentans DSM 16532	1421	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus fermentans DSM 16532
Desulfurococcus kamchatkensis 1221n	1471	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus kamchatkensis 1221n
Desulfurococcus mucosus DSM 2162	1371	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Desulfurococcus;Desulfurococcus mucosus DSM 2162
Ignicoccus hospitalis KIN4/I	1434	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignicoccus;Ignicoccus hospitalis KIN4/I
Ignisphaera aggregans DSM 17230	1992	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Ignisphaera;Ignisphaera aggregans DSM 17230
Staphylothermus hellenicus DSM 12710	1599	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus hellenicus DSM 12710
Staphylothermus marinus F1	1573	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Staphylothermus;Staphylothermus marinus F1
Thermogladius cellulolyticus 1633	1413	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermogladius;Thermogladius cellulolyticus 1633
Thermosphaera aggregans DSM 11486	1410	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;Thermosphaera aggregans DSM 11486
Hyperthermus butylicus DSM 5456	1603	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Hyperthermus;Hyperthermus butylicus DSM 5456
Pyrolobus fumarii 1A	1986	Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Pyrodictiaceae;Pyrolobus;Pyrolobus fumarii 1A
Fervidicoccus fontis Kam940	1385	Archaea;Crenarchaeota;Thermoprotei;Fervidicoccales;Fervidicoccaceae;Fervidicoccus;Fervidicoccus fontis Kam940
Acidianus ambivalens	10	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus ambivalens
Acidianus hospitalis W1	2329	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Acidianus;Acidianus hospitalis W1
Metallosphaera cuprina Ar-4	2029	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera cuprina Ar-4
Metallosphaera sedula DSM 5348	2256	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Metallosphaera;Metallosphaera sedula DSM 5348
Sulfolobus NOB8H2	52	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus NOB8H2
Sulfolobus acidocaldarius DSM 639	2224	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius DSM 639
Sulfolobus acidocaldarius N8	2275	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius N8
Sulfolobus acidocaldarius Ron12/I	2317	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus acidocaldarius Ron12/I
Sulfolobus islandicus	292	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus
Sulfolobus islandicus HVE10/4	2723	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus HVE10/4
Sulfolobus islandicus L.D.8.5	2948	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus L.D.8.5
Sulfolobus islandicus L.S.2.15	2737	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus L.S.2.15
Sulfolobus islandicus LAL14/1	2601	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus LAL14/1
Sulfolobus islandicus M.14.25	2608	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus M.14.25
Sulfolobus islandicus M.16.27	2657	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus M.16.27
Sulfolobus islandicus M.16.4	2735	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus M.16.4
Sulfolobus islandicus Rey 15/4	2651	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus Rey 15/4
Sulfolobus islandicus Y.G.57.14	2903	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus Y.G.57.14
Sulfolobus islandicus Y.N.15.51	2900	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus islandicus Y.N.15.51
Sulfolobus neozealandicus	13	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus neozealandicus
Sulfolobus solfataricus	6	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus solfataricus
Sulfolobus solfataricus 98/2	2679	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus solfataricus 98/2
Sulfolobus solfataricus P2	2978	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus solfataricus P2
Sulfolobus tengchongensis	27	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus tengchongensis
Sulfolobus tokodaii str. 7	2826	Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;Sulfolobus tokodaii str. 7
Thermofilum pendens Hrk 5	1878	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermofilaceae;Thermofilum;Thermofilum pendens Hrk 5
Caldivirga maquilingensis IC-167	1963	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Caldivirga;Caldivirga maquilingensis IC-167
Pyrobaculum 1860	2824	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum 1860
Pyrobaculum aerophilum str. IM2	2604	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum aerophilum str. IM2
Pyrobaculum arsenaticum DSM 13514	2299	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum arsenaticum DSM 13514
Pyrobaculum calidifontis JCM 11548	2152	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum calidifontis JCM 11548
Pyrobaculum islandicum DSM 4184	1978	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum islandicum DSM 4184
Pyrobaculum oguniense TE7	2835	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Pyrobaculum;Pyrobaculum oguniense TE7
Thermoproteus neutrophilus V24Sta	1966	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus neutrophilus V24Sta
Thermoproteus tenax	2021	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus tenax
Thermoproteus tenax Kra 1	2049	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus tenax Kra 1
Thermoproteus uzoniensis 768-20	2185	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Thermoproteus;Thermoproteus uzoniensis 768-20
Vulcanisaeta distributa DSM 14429	2543	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;Vulcanisaeta distributa DSM 14429
Vulcanisaeta moutnovskia 768-28	2319	Archaea;Crenarchaeota;Thermoprotei;Thermoproteales;Thermoproteaceae;Vulcanisaeta;Vulcanisaeta moutnovskia 768-28
Crenarchaeota archaeon SCGC AAA471-L13	975	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;Crenarchaeota archaeon SCGC AAA471-L13
Crenarchaeota archaeon SCGC AAA471-O08	1246	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;Crenarchaeota archaeon SCGC AAA471-O08
candidate division YNPFFA archaeon SCGC AAA471-B05	2473	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;candidate division YNPFFA archaeon SCGC AAA471-B05
candidate division YNPFFA archaeon SCGC AAA471-B23	1220	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;candidate division YNPFFA archaeon SCGC AAA471-B23
candidate division YNPFFA archaeon SCGC AAA471-C03	909	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;candidate division YNPFFA archaeon SCGC AAA471-C03
candidate division YNPFFA archaeon SCGC AAA471-L14	1064	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division YNPFFA;YNPFFA;candidate division YNPFFA archaeon SCGC AAA471-L14
Aigarchaeota archaeon JGI 0000001-B8	442	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon JGI 0000001-B8
Aigarchaeota archaeon JGI 0000106-J15	1131	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon JGI 0000106-J15
Aigarchaeota archaeon SCGC AAA471-A16	935	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-A16
Aigarchaeota archaeon SCGC AAA471-B22	1637	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-B22
Aigarchaeota archaeon SCGC AAA471-D15	1316	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-D15
Aigarchaeota archaeon SCGC AAA471-E16	561	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-E16
Aigarchaeota archaeon SCGC AAA471-F17	843	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-F17
Aigarchaeota archaeon SCGC AAA471-I13	202	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;Aigarchaeota archaeon SCGC AAA471-I13
candidate division pSL4 archaeon JGI 0000001-A7	474	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon JGI 0000001-A7
candidate division pSL4 archaeon JGI 0000001-H6	227	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon JGI 0000001-H6
candidate division pSL4 archaeon SCGC AAA471-E14	1323	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon SCGC AAA471-E14
candidate division pSL4 archaeon SCGC AAA471-J07	290	Archaea;Crenarchaeota;unclassified Crenarchaeota;unclassified_Crenarchaeota_X;candidate division pSL4;unclassified candidate division pSL4;candidate division pSL4 archaeon SCGC AAA471-J07
