target_id	length	eff_length	est_counts	tpm
Aazo_0002-NC_014248	74	24	0	0
Aazo_0003-NC_014248	42	1.00007	0	0
Aazo_0004-NC_014248	282	232	0	0
Aazo_0005-NC_014248	45	1.0015	0	0
Aazo_0007-NC_014248	255	205	0	0
Aazo_0009-NC_014248	50	1.2105	0	0
Aazo_0012-NC_014248	110	60	0	0
Aazo_0013-NC_014248	250	200	0	0
Aazo_0014-NC_014248	251	201	0	0
Aazo_0015-NC_014248	414	364	0	0
Aazo_0018-NC_014248	63	13	0	0
Aazo_0019-NC_014248	367	317	0	0
Aazo_0020-NC_014248	343	293	0	0
Aazo_0021-NC_014248	89	39	0	0
Aazo_0022-NC_014248	62	12	0	0
Aazo_0025-NC_014248	239	189	0	0
Aazo_0026-NC_014248	68	18	0	0
Aazo_0027-NC_014248	269	219	0	0
Aazo_0028-NC_014248	477	427	0	0
Aazo_0030-NC_014248	40	1.00001	0	0
Aazo_0031-NC_014248	34	1	0	0
Aazo_0033-NC_014248	823	773	0	0
Aazo_0034-NC_014248	112	62	0	0
Aazo_0035-NC_014248	37	1	0	0
Aazo_0036-NC_014248	67	17	0	0
Aazo_0037-NC_014248	192	142	0	0
Aazo_0038-NC_014248	480	430	0	0
Aazo_0039-NC_014248	225	175	0	0
Aazo_0041-NC_014248	259	209	0	0
Aazo_0042-NC_014248	336	286	0	0
Aazo_0043-NC_014248	182	132	0	0
Aazo_0044-NC_014248	378	328	0	0
Aazo_0047-NC_014248	77	27	0	0
Aazo_0048-NC_014248	350	300	0	0
Aazo_0049-NC_014248	566	516	0	0
Aazo_0050-NC_014248	205	155	0	0
Aazo_0051-NC_014248	448	398	0	0
Aazo_0052-NC_014248	97	47	0	0
Aazo_0053-NC_014248	40	1.00001	0	0
Aazo_0054-NC_014248	39	1	0	0
Aazo_0055-NC_014248	306	256	0	0
Aazo_0056-NC_014248	184	134	0	0
Aazo_0057-NC_014248	175	125	0	0
Aazo_0058-NC_014248	335	285	0	0
Aazo_0059-NC_014248	56	6	0	0
Aazo_0060-NC_014248	43	1.0002	0	0
Aazo_0061-NC_014248	145	95	0	0
Aazo_0062-NC_014248	290	240	0	0
Aazo_0063-NC_014248	53	3.0139	0	0
Aazo_0064-NC_014248	373	323	0	0
Aazo_0065-NC_014248	182	132	0	0
Aazo_0066-NC_014248	242	192	0	0
Aazo_0067-NC_014248	178	128	0	0
Aazo_0068-NC_014248	297	247	0	0
Aazo_0070-NC_014248	70	20	0	0
Aazo_0071-NC_014248	79	29	0	0
Aazo_0072-NC_014248	59	9	0	0
Aazo_0073-NC_014248	89	39	0	0
Aazo_0074-NC_014248	105	55	0	0
Aazo_0075-NC_014248	722	672	0	0
Aazo_0076-NC_014248	506	456	0	0
Aazo_0077-NC_014248	107	57	0	0
Aazo_0078-NC_014248	99	49	0	0
Aazo_0079-NC_014248	123	73	0	0
Aazo_0080-NC_014248	127	77	0	0
Aazo_0081-NC_014248	129	79	0	0
Aazo_0082-NC_014248	236	186	0	0
Aazo_0083-NC_014248	81	31	0	0
Aazo_0086-NC_014248	175	125	0	0
Aazo_0087-NC_014248	231	181	0	0
Aazo_0089-NC_014248	272	222	0	0
Aazo_0090-NC_014248	242	192	0	0
Aazo_0091-NC_014248	384	334	0	0
Aazo_0092-NC_014248	479	429	0	0
Aazo_0093-NC_014248	245	195	0	0
Aazo_0094-NC_014248	78	28	0	0
Aazo_0095-NC_014248	197	147	0	0
Aazo_0096-NC_014248	181	131	0	0
Aazo_0097-NC_014248	114	64	0	0
Aazo_0099-NC_014248	476	426	0	0
Aazo_0100-NC_014248	294	244	0	0
Aazo_0101-NC_014248	51	1.52009	0	0
Aazo_0102-NC_014248	78	28	0	0
Aazo_0103-NC_014248	382	332	0	0
Aazo_0104-NC_014248	104	54	0	0
Aazo_0105-NC_014248	75	25	0	0
Aazo_0106-NC_014248	174	124	0	0
Aazo_0107-NC_014248	151	101	0	0
Aazo_0108-NC_014248	128	78	0	0
Aazo_0109-NC_014248	70	20	0	0
