,target_id,length,eff_length,est_counts,tpm,strain_name_x,gene_name,taxonomy
0,Aazo_0002-NC_014248,74,24.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
1,Aazo_0003-NC_014248,42,1.00007,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
2,Aazo_0004-NC_014248,282,232.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
3,Aazo_0005-NC_014248,45,1.0015,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
4,Aazo_0007-NC_014248,255,205.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
5,Aazo_0009-NC_014248,50,1.2105,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
6,Aazo_0012-NC_014248,110,60.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
7,Aazo_0013-NC_014248,250,200.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
8,Aazo_0014-NC_014248,251,201.0,0.0,0.0,'Nostoc azollae' 0708,KaiB domain-containing protein; K08481 circadian clock protein KaiB,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
9,Aazo_0015-NC_014248,414,364.0,0.0,0.0,'Nostoc azollae' 0708,twitching motility protein; K02669 twitching motility protein PilT,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
10,Aazo_0018-NC_014248,63,13.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
11,Aazo_0019-NC_014248,367,317.0,0.0,0.0,'Nostoc azollae' 0708,anion-transporting ATPase; K01551 arsenite-transporting ATPase [EC:3.6.3.16],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
12,Aazo_0020-NC_014248,343,293.0,0.0,0.0,'Nostoc azollae' 0708,bacteriochlorophyll/chlorophyll synthetase; K04040 chlorophyll synthase [EC:2.5.1.62],Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
13,Aazo_0021-NC_014248,89,39.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
14,Aazo_0022-NC_014248,62,12.0,0.0,0.0,'Nostoc azollae' 0708,hypothetical protein,Bacteria;Cyanobacteria;Cyanobacteria_X;SubsectionIV;FamilyIV_I;Nostoc;'Nostoc azollae' 0708
